F12,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,gamma_11,gamma_12
3.0,0.254037380219,0.553468219936,0.567369796336,0.254037380219,0.553468219936,0.567369796336,0.254037380219,0.572946049273,0.548768557608,0.254037380219,0.572946049273,0.548768557608
3.0600000381469727,0.254037380219,0.573914848268,0.583594635129,0.254037380219,0.573914848268,0.583594635129,0.254037380219,0.588987275958,0.569031573832,0.254037380219,0.588987275958,0.569031573832
3.1200000762939455,0.254037380219,0.593356750906,0.601011827588,0.254037380219,0.593356750906,0.601011827588,0.254037380219,0.606220848858,0.588289864361,0.254037380219,0.606220848858,0.588289864361
3.1799999237060548,0.254037380219,0.611725024879,0.619558081031,0.254037380219,0.611725024879,0.619558081031,0.254037380219,0.624583497643,0.606474496424,0.254037380219,0.624583497643,0.606474496424
3.2400001525878905,0.254037380219,0.628954730928,0.639166221023,0.254037380219,0.628954730928,0.639166221023,0.254037380219,0.644008010626,0.623520590365,0.254037380219,0.644008010626,0.623520590365
3.3,0.254037380219,0.644985280931,0.65976536274,0.254037380219,0.644985280931,0.65976536274,0.254037380219,0.664423540235,0.639367498457,0.254037380219,0.664423540235,0.639367498457
3.3599998474121096,0.254037380219,0.659760378301,0.681281268597,0.254037380219,0.659760378301,0.681281268597,0.254037380219,0.685755833983,0.653959013522,0.254037380219,0.685755833983,0.653959013522
3.4200000762939453,0.254037380219,0.673228465021,0.703636601567,0.254037380219,0.673228465021,0.703636601567,0.254037380219,0.707927554846,0.667243458331,0.254037380219,0.707927554846,0.667243458331
3.4799999237060546,0.254037380219,0.685342632234,0.726751163602,0.254037380219,0.685342632234,0.726751163602,0.254037380219,0.730858504772,0.679174043238,0.254037380219,0.730858504772,0.679174043238
3.540000152587891,0.254037380219,0.696061097085,0.750542283058,0.254037380219,0.696061097085,0.750542283058,0.254037380219,0.754465997219,0.689708866179,0.254037380219,0.754465997219,0.689708866179
